
Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:49:05 2025
Timers Off: Thu Jul 10 15:49:38 2025

Wall Time:       33.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
CT2                                 :      0.550u      0.817s      0.789w    551 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      3.533u      0.017s      1.903w     31 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.017s      0.149w     62 calls
HF: Form core H                     :      0.067u      0.033s      0.032w     31 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     31 calls
HF: Guess                           :      0.950u      0.167s      0.617w     31 calls
| SAD Guess                         :      0.867u      0.167s      0.604w     31 calls
HF: Form G                          :      1.333u      0.000s      0.758w    429 calls
| JK: D                             :      0.017u      0.000s      0.001w    429 calls
| JK: USO2AO                        :      0.067u      0.000s      0.024w    429 calls
| JK: JK                            :      1.217u      0.000s      0.668w    429 calls
| | PK computes JK                  :      1.217u      0.000s      0.667w    429 calls
| JK: AO2USO                        :      0.033u      0.000s      0.062w    429 calls
HF: Form F                          :      0.000u      0.000s      0.001w    429 calls
HF: Form D                          :      0.000u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.567u      0.133s      0.457w    398 calls
HF: Form C                          :      0.100u      0.000s      0.055w    398 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.073w     31 calls
ccenergy                            :     18.217u     15.550s     20.438w     31 calls
| F build                           :      0.767u      0.500s      0.717w    551 calls
| Wmbej build                       :      2.050u      2.517s      2.899w    551 calls
| | C->Wmbej                        :      0.017u      0.367s      0.156w    551 calls
| | F->Wmbej                        :      0.517u      1.750s      1.308w    551 calls
| | E->Wmbej                        :      0.150u      0.283s      0.298w    551 calls
| | X->Wmbej                        :      1.333u      0.083s      1.087w    551 calls
| Z                                 :      2.967u      0.150s      1.685w    551 calls
| T2 Build                          :      8.900u      5.583s      8.737w    551 calls
| | BT2                             :      6.367u      3.217s      5.990w    551 calls
| | | ABCD:new                      :      6.367u      3.217s      5.989w    551 calls
| | | | ABCD:S                      :      2.950u      0.167s      1.679w    551 calls
| | | | ABCD:A                      :      2.050u      0.267s      1.683w    551 calls
| | | | ABCD:axpy                   :      1.283u      2.667s      2.375w    551 calls
| | FT2                             :      0.133u      0.317s      0.258w    551 calls
| | WmbejT2                         :      1.333u      0.567s      1.080w    551 calls
| | CT2                             :      0.550u      0.817s      0.789w    551 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:49:42 2025
Timers Off: Thu Jul 10 15:49:59 2025

Wall Time:       17.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.767u      0.050s      0.358w     68 calls
build grid                          :      0.450u      0.033s      0.188w     68 calls
post-process grid                   :      0.317u      0.017s      0.169w     68 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.063w     68 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.065w    216 calls
DFH: initialize()                   :      0.300u      0.033s      0.234w     68 calls
DFH: AO Construction                :      0.050u      0.000s      0.030w     68 calls
DFH: AO-Met. Contraction            :      0.067u      0.000s      0.041w     68 calls
HF: Form core H                     :      0.017u      0.017s      0.020w     68 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w     68 calls
HF: Guess                           :      0.833u      0.117s      0.511w     68 calls
SAD Guess                           :      0.817u      0.117s      0.491w     64 calls
HF: Form G                          :     16.117u      0.783s      9.750w    502 calls
RV: Form V                          :     15.683u      0.733s      9.509w    491 calls
Properties                          :      4.833u      0.200s      2.795w 200830 calls
Functional                          :      6.900u      0.133s      3.990w 200830 calls
V_xc                                :      4.183u      0.117s      2.673w 196468 calls
JK: D                               :      0.000u      0.000s      0.001w    510 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    510 calls
JK: JK                              :      0.217u      0.033s      0.119w    510 calls
DFH: compute_JK()                   :      0.217u      0.033s      0.119w    510 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    510 calls
DFH: compute_J                      :      0.017u      0.000s      0.008w    510 calls
DFH: compute_K                      :      0.200u      0.000s      0.102w    510 calls
JK: AO2USO                          :      0.033u      0.000s      0.005w    510 calls
UV: Form V                          :      0.167u      0.000s      0.095w     11 calls
HF: Form F                          :      0.017u      0.000s      0.001w    502 calls
HF: Form D                          :      0.017u      0.000s      0.001w    502 calls
HF: DIIS                            :      0.700u      0.300s      0.552w    438 calls
HF: Form C                          :      0.067u      0.000s      0.034w    438 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.000w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.033u      0.017s      0.021w      3 calls
JKGrad: Amn                         :      0.017u      0.000s      0.004w      3 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      3 calls
JKGrad: AB                          :      0.000u      0.000s      0.005w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      3 calls
JKGrad: ABx                         :      0.000u      0.000s      0.001w      3 calls
JKGrad: Amnx                        :      0.017u      0.017s      0.008w      3 calls
Grad: XC                            :      0.200u      0.000s      0.127w      3 calls
V_xc gradient                       :      0.067u      0.000s      0.048w   1186 calls
RV: Form Vx                         :      0.767u      0.033s      0.477w      8 calls
Derivative Properties               :      0.333u      0.017s      0.191w   7543 calls
V_XCd                               :      0.233u      0.000s      0.105w   7543 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.767u      0.050s      0.358w     68 calls
| build grid                        :      0.450u      0.033s      0.188w     68 calls
| post-process grid                 :      0.317u      0.017s      0.169w     68 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.063w     68 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.033w     68 calls
DFH: initialize()                   :      0.300u      0.033s      0.234w     68 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.030w    136 calls
| DFH: AO Construction              :      0.050u      0.000s      0.030w     68 calls
| DFH: AO-Met. Contraction          :      0.067u      0.000s      0.041w     68 calls
HF: Form core H                     :      0.017u      0.017s      0.020w     68 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w     68 calls
HF: Guess                           :      0.833u      0.117s      0.511w     68 calls
| SAD Guess                         :      0.817u      0.117s      0.491w     64 calls
HF: Form G                          :     16.117u      0.783s      9.750w    502 calls
| RV: Form V                        :     15.683u      0.733s      9.509w    491 calls
| | Properties                      :      4.617u      0.183s      2.622w 194157 calls
| | Functional                      :      6.667u      0.133s      3.861w 194157 calls
| | V_xc                            :      4.150u      0.117s      2.644w 194157 calls
| JK: D                             :      0.000u      0.000s      0.001w    502 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w    502 calls
| JK: JK                            :      0.217u      0.033s      0.114w    502 calls
| | DFH: compute_JK()               :      0.217u      0.033s      0.113w    502 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    502 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.007w    502 calls
| | | DFH: compute_K                :      0.200u      0.000s      0.097w    502 calls
| JK: AO2USO                        :      0.033u      0.000s      0.004w    502 calls
| UV: Form V                        :      0.167u      0.000s      0.095w     11 calls
| | Properties                      :      0.033u      0.000s      0.026w   2311 calls
| | Functional                      :      0.100u      0.000s      0.035w   2311 calls
| | V_xc                            :      0.033u      0.000s      0.029w   2311 calls
HF: Form F                          :      0.017u      0.000s      0.001w    502 calls
HF: Form D                          :      0.017u      0.000s      0.001w    502 calls
HF: DIIS                            :      0.700u      0.300s      0.552w    438 calls
HF: Form C                          :      0.067u      0.000s      0.034w    438 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.000w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.033u      0.017s      0.021w      3 calls
| JKGrad: Amn                       :      0.017u      0.000s      0.004w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.000u      0.000s      0.005w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      3 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.001w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: Amnx                      :      0.017u      0.017s      0.008w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.017s      0.002w      3 calls
Grad: XC                            :      0.200u      0.000s      0.127w      3 calls
| Properties                        :      0.050u      0.000s      0.053w   1186 calls
| Functional                        :      0.083u      0.000s      0.023w   1186 calls
| V_xc gradient                     :      0.067u      0.000s      0.048w   1186 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.006w      8 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.006w      8 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w      8 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.000w      8 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.005w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
RV: Form Vx                         :      0.767u      0.033s      0.477w      8 calls
| Properties                        :      0.133u      0.017s      0.094w   3176 calls
| Functional                        :      0.050u      0.000s      0.071w   3176 calls
| Derivative Properties             :      0.333u      0.017s      0.191w   7543 calls
| V_XCd                             :      0.233u      0.000s      0.105w   7543 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:50:03 2025
Timers Off: Thu Jul 10 15:50:21 2025

Wall Time:       18.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.317u      0.017s      0.173w     25 calls
build grid                          :      0.167u      0.000s      0.099w     25 calls
post-process grid                   :      0.150u      0.017s      0.074w     25 calls
DFH: sparsity prep                  :      0.483u      0.067s      0.319w     25 calls
Libint2ERI::Libint2ERI              :      0.600u      0.100s      0.427w     75 calls
DFH: initialize()                   :      0.550u      0.033s      0.411w     25 calls
DFH: AO Construction                :      0.100u      0.000s      0.062w     25 calls
DFH: AO-Met. Contraction            :      0.050u      0.000s      0.044w     25 calls
HF: Form core H                     :      0.000u      0.000s      0.010w     25 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     25 calls
HF: Guess                           :      0.817u      0.150s      0.592w     25 calls
SAD Guess                           :      0.800u      0.150s      0.584w     25 calls
HF: Form G                          :      8.533u      0.400s      5.364w    231 calls
RV: Form V                          :      8.283u      0.400s      5.237w    231 calls
Properties                          :      5.767u      0.117s      3.436w 137324 calls
Functional                          :      4.133u      0.117s      2.796w 137324 calls
V_xc                                :      2.867u      0.050s      1.647w  92819 calls
JK: D                               :      0.000u      0.000s      0.001w    342 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    342 calls
JK: JK                              :      0.483u      0.000s      0.285w    342 calls
DFH: compute_JK()                   :      0.483u      0.000s      0.285w    342 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    342 calls
DFH: compute_J                      :      0.033u      0.000s      0.017w    342 calls
DFH: compute_K                      :      0.450u      0.000s      0.253w    342 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    342 calls
HF: Form F                          :      0.000u      0.000s      0.000w    231 calls
HF: Form D                          :      0.000u      0.000s      0.000w    231 calls
HF: DIIS                            :      0.283u      0.033s      0.191w    206 calls
HF: Form C                          :      0.067u      0.000s      0.020w    206 calls
RV: Form Vx                         :     13.967u      0.483s      8.672w    111 calls
Derivative Properties               :      5.900u      0.083s      3.583w 109070 calls
V_XCd                               :      3.300u      0.067s      2.037w 109070 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.317u      0.017s      0.173w     25 calls
| build grid                        :      0.167u      0.000s      0.099w     25 calls
| post-process grid                 :      0.150u      0.017s      0.074w     25 calls
DFH: sparsity prep                  :      0.483u      0.067s      0.319w     25 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.067s      0.223w     25 calls
DFH: initialize()                   :      0.550u      0.033s      0.411w     25 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.033s      0.204w     50 calls
| DFH: AO Construction              :      0.100u      0.000s      0.062w     25 calls
| DFH: AO-Met. Contraction          :      0.050u      0.000s      0.044w     25 calls
HF: Form core H                     :      0.000u      0.000s      0.010w     25 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     25 calls
HF: Guess                           :      0.817u      0.150s      0.592w     25 calls
| SAD Guess                         :      0.800u      0.150s      0.584w     25 calls
HF: Form G                          :      8.533u      0.400s      5.364w    231 calls
| RV: Form V                        :      8.283u      0.400s      5.237w    231 calls
| | Properties                      :      2.517u      0.067s      1.572w  92819 calls
| | Functional                      :      2.750u      0.100s      1.838w  92819 calls
| | V_xc                            :      2.867u      0.050s      1.647w  92819 calls
| JK: D                             :      0.000u      0.000s      0.000w    231 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    231 calls
| JK: JK                            :      0.250u      0.000s      0.124w    231 calls
| | DFH: compute_JK()               :      0.250u      0.000s      0.124w    231 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    231 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    231 calls
| | | DFH: compute_K                :      0.250u      0.000s      0.113w    231 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    231 calls
HF: Form F                          :      0.000u      0.000s      0.000w    231 calls
HF: Form D                          :      0.000u      0.000s      0.000w    231 calls
HF: DIIS                            :      0.283u      0.033s      0.191w    206 calls
HF: Form C                          :      0.067u      0.000s      0.020w    206 calls
JK: D                               :      0.000u      0.000s      0.000w    111 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    111 calls
JK: JK                              :      0.233u      0.000s      0.161w    111 calls
| DFH: compute_JK()                 :      0.233u      0.000s      0.161w    111 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w    111 calls
| | DFH: compute_J                  :      0.033u      0.000s      0.010w    111 calls
| | DFH: compute_K                  :      0.200u      0.000s      0.140w    111 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    111 calls
RV: Form Vx                         :     13.967u      0.483s      8.672w    111 calls
| Properties                        :      3.250u      0.050s      1.864w  44505 calls
| Functional                        :      1.383u      0.017s      0.958w  44505 calls
| Derivative Properties             :      5.900u      0.083s      3.583w 109070 calls
| V_XCd                             :      3.300u      0.067s      2.037w 109070 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:50:55 2025
Timers Off: Thu Jul 10 15:50:56 2025

Wall Time:        1.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.250u      0.033s      0.134w      2 calls
Libint2ERI::Libint2ERI              :      0.150u      0.033s      0.070w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.067u      0.000s      0.048w      2 calls
SAD Guess                           :      0.067u      0.000s      0.048w      2 calls
HF: Form G                          :      0.000u      0.017s      0.001w     22 calls
JK: D                               :      0.000u      0.000s      0.000w     22 calls
JK: USO2AO                          :      0.000u      0.017s      0.000w     22 calls
JK: JK                              :      0.000u      0.000s      0.001w     22 calls
PK computes JK                      :      0.000u      0.000s      0.001w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      0.183u      0.033s      0.133w     20 calls
HF: Form C                          :      0.000u      0.000s      0.002w     20 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.250u      0.033s      0.134w      2 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.042w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.067u      0.000s      0.048w      2 calls
| SAD Guess                         :      0.067u      0.000s      0.048w      2 calls
HF: Form G                          :      0.000u      0.017s      0.001w     22 calls
| JK: D                             :      0.000u      0.000s      0.000w     22 calls
| JK: USO2AO                        :      0.000u      0.017s      0.000w     22 calls
| JK: JK                            :      0.000u      0.000s      0.001w     22 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      0.183u      0.033s      0.133w     20 calls
HF: Form C                          :      0.000u      0.000s      0.002w     20 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.028w      3 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:50:58 2025
Timers Off: Thu Jul 10 15:50:58 2025

Wall Time:        0.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.001w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.017s      0.007w      1 calls
SAD Guess                           :      0.050u      0.017s      0.007w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.000w      8 calls
PK computes JK                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.183u      0.033s      0.124w      7 calls
HF: Form C                          :      0.017u      0.000s      0.001w      7 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.001w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.000w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.017s      0.007w      1 calls
| SAD Guess                         :      0.050u      0.017s      0.007w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.000w      8 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.183u      0.033s      0.124w      7 calls
HF: Form C                          :      0.017u      0.000s      0.001w      7 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      2 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:55:41 2025
Timers Off: Thu Jul 10 15:56:15 2025

Wall Time:       33.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      3.500u      0.050s      1.916w     31 calls
Libint2ERI::Libint2ERI              :      0.333u      0.000s      0.225w     93 calls
HF: Form core H                     :      0.033u      0.000s      0.031w     31 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w     31 calls
HF: Guess                           :      0.933u      0.117s      0.617w     31 calls
SAD Guess                           :      0.900u      0.117s      0.605w     31 calls
HF: Form G                          :      1.400u      0.000s      0.759w    429 calls
JK: D                               :      0.000u      0.000s      0.001w    429 calls
JK: USO2AO                          :      0.017u      0.000s      0.025w    429 calls
JK: JK                              :      1.267u      0.000s      0.669w    429 calls
PK computes JK                      :      1.267u      0.000s      0.668w    429 calls
JK: AO2USO                          :      0.117u      0.000s      0.061w    429 calls
HF: Form F                          :      0.000u      0.000s      0.001w    429 calls
HF: Form D                          :      0.017u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.633u      0.167s      0.459w    398 calls
HF: Form C                          :      0.067u      0.000s      0.055w    398 calls
ccenergy                            :     18.267u     15.617s     20.533w     31 calls
F build                             :      0.817u      0.600s      0.716w    551 calls
Wmbej build                         :      2.450u      2.067s      2.944w    551 calls
C->Wmbej                            :      0.017u      0.250s      0.160w    551 calls
F->Wmbej                            :      0.533u      1.467s      1.332w    551 calls
E->Wmbej                            :      0.200u      0.217s      0.307w    551 calls
X->Wmbej                            :      1.683u      0.083s      1.093w    551 calls
Z                                   :      2.667u      0.100s      1.681w    551 calls
T2 Build                            :      9.000u      5.783s      8.798w    551 calls
BT2                                 :      7.233u      3.583s      5.990w    551 calls
ABCD:new                            :      7.233u      3.583s      5.989w    551 calls
ABCD:S                              :      2.867u      0.367s      1.677w    551 calls
ABCD:A                              :      2.383u      0.250s      1.676w    551 calls
ABCD:axpy                           :      1.750u      2.783s      2.394w    551 calls
FT2                                 :      0.167u      0.317s      0.268w    551 calls
WmbejT2                             :      0.933u      0.667s      1.101w    551 calls
CT2                                 :      0.300u      0.717s      0.813w    551 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      3.500u      0.050s      1.916w     31 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.000s      0.151w     62 calls
HF: Form core H                     :      0.033u      0.000s      0.031w     31 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w     31 calls
HF: Guess                           :      0.933u      0.117s      0.617w     31 calls
| SAD Guess                         :      0.900u      0.117s      0.605w     31 calls
HF: Form G                          :      1.400u      0.000s      0.759w    429 calls
| JK: D                             :      0.000u      0.000s      0.001w    429 calls
| JK: USO2AO                        :      0.017u      0.000s      0.025w    429 calls
| JK: JK                            :      1.267u      0.000s      0.669w    429 calls
| | PK computes JK                  :      1.267u      0.000s      0.668w    429 calls
| JK: AO2USO                        :      0.117u      0.000s      0.061w    429 calls
HF: Form F                          :      0.000u      0.000s      0.001w    429 calls
HF: Form D                          :      0.017u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.633u      0.167s      0.459w    398 calls
HF: Form C                          :      0.067u      0.000s      0.055w    398 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.074w     31 calls
ccenergy                            :     18.267u     15.617s     20.533w     31 calls
| F build                           :      0.817u      0.600s      0.716w    551 calls
| Wmbej build                       :      2.450u      2.067s      2.944w    551 calls
| | C->Wmbej                        :      0.017u      0.250s      0.160w    551 calls
| | F->Wmbej                        :      0.533u      1.467s      1.332w    551 calls
| | E->Wmbej                        :      0.200u      0.217s      0.307w    551 calls
| | X->Wmbej                        :      1.683u      0.083s      1.093w    551 calls
| Z                                 :      2.667u      0.100s      1.681w    551 calls
| T2 Build                          :      9.000u      5.783s      8.798w    551 calls
| | BT2                             :      7.233u      3.583s      5.990w    551 calls
| | | ABCD:new                      :      7.233u      3.583s      5.989w    551 calls
| | | | ABCD:S                      :      2.867u      0.367s      1.677w    551 calls
| | | | ABCD:A                      :      2.383u      0.250s      1.676w    551 calls
| | | | ABCD:axpy                   :      1.750u      2.783s      2.394w    551 calls
| | FT2                             :      0.167u      0.317s      0.268w    551 calls
| | WmbejT2                         :      0.933u      0.667s      1.101w    551 calls
| | CT2                             :      0.300u      0.717s      0.813w    551 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jul 10 15:56:17 2025
Timers Off: Thu Jul 10 15:56:35 2025

Wall Time:       17.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.600u      0.017s      0.360w     68 calls
build grid                          :      0.533u      0.000s      0.189w     68 calls
post-process grid                   :      0.067u      0.017s      0.169w     68 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.064w     68 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.066w    216 calls
DFH: initialize()                   :      0.733u      0.017s      0.238w     68 calls
DFH: AO Construction                :      0.100u      0.000s      0.030w     68 calls
DFH: AO-Met. Contraction            :      0.133u      0.000s      0.041w     68 calls
HF: Form core H                     :      0.050u      0.017s      0.020w     68 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     68 calls
HF: Guess                           :      0.517u      0.150s      0.515w     68 calls
SAD Guess                           :      0.400u      0.150s      0.495w     64 calls
HF: Form G                          :     16.517u      0.817s      9.790w    502 calls
RV: Form V                          :     16.267u      0.817s      9.546w    491 calls
Properties                          :      4.800u      0.100s      2.777w 200830 calls
Functional                          :      6.933u      0.233s      4.011w 200830 calls
V_xc                                :      4.700u      0.200s      2.702w 196468 calls
JK: D                               :      0.000u      0.000s      0.001w    510 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    510 calls
JK: JK                              :      0.100u      0.000s      0.121w    510 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.120w    510 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    510 calls
DFH: compute_J                      :      0.017u      0.000s      0.008w    510 calls
DFH: compute_K                      :      0.083u      0.000s      0.103w    510 calls
JK: AO2USO                          :      0.000u      0.000s      0.005w    510 calls
UV: Form V                          :      0.133u      0.000s      0.096w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w    502 calls
HF: Form D                          :      0.000u      0.000s      0.001w    502 calls
HF: DIIS                            :      0.383u      0.200s      0.564w    438 calls
